,casualties_id,casualties,fatalities,serious_injuries,minor_injuries
376711,6c2f3s1m,6.0,2.0,3.0,1.0
376780,10c1f6s3m,10.0,1.0,6.0,3.0
410775,10c6f2s2m,10.0,6.0,2.0,2.0
416066,9c2f7m,9.0,2.0,0.0,7.0
416123,11c3f6s2m,11.0,3.0,6.0,2.0
418481,11c6s5m,11.0,0.0,6.0,5.0
448597,6c3f3s,6.0,3.0,3.0,0.0
448682,6c3f3m,6.0,3.0,0.0,3.0
448760,7c3f1s3m,7.0,3.0,1.0,3.0
485685,10c9f1m,10.0,9.0,0.0,1.0
491034,8c2f4s2m,8.0,2.0,4.0,2.0
491039,7c3f3s1m,7.0,3.0,3.0,1.0
491050,9c1f1s7m,9.0,1.0,1.0,7.0
492844,8c1f3s4m,8.0,1.0,3.0,4.0
492853,9c1f4s4m,9.0,1.0,4.0,4.0
493891,35c1s34m,35.0,0.0,1.0,34.0
498504,19c3s16m,19.0,0.0,3.0,16.0
562731,6c3f1s2m,6.0,3.0,1.0,2.0
562792,7c4f2s1m,7.0,4.0,2.0,1.0
566354,20c2s18m,20.0,0.0,2.0,18.0
570512,15c3s12m,15.0,0.0,3.0,12.0
613200,10c1f3s6m,10.0,1.0,3.0,6.0
642965,8c5f1s2m,8.0,5.0,1.0,2.0
650603,9c2f5s2m,9.0,2.0,5.0,2.0
651404,12c2s10m,12.0,0.0,2.0,10.0
653415,13c1f4s8m,13.0,1.0,4.0,8.0
682250,11c1f10s,11.0,1.0,10.0,0.0
690624,9c3f2s4m,9.0,3.0,2.0,4.0
723719,42c12s30m,42.0,0.0,12.0,30.0
725584,13c3s10m,13.0,0.0,3.0,10.0
751490,8c3f1s4m,8.0,3.0,1.0,4.0
762066,22c4s18m,22.0,0.0,4.0,18.0
783933,8c2f1s5m,8.0,2.0,1.0,5.0
785670,15c5s10m,15.0,0.0,5.0,10.0
813233,8c2f2s4m,8.0,2.0,2.0,4.0
842827,9c1f5s3m,9.0,1.0,5.0,3.0
842890,9c3f1s5m,9.0,3.0,1.0,5.0
851792,16c2s14m,16.0,0.0,2.0,14.0
876189,43c3f14s26m,43.0,3.0,14.0,26.0
879874,15c15m,15.0,0.0,0.0,15.0
912309,12c4f8s,12.0,4.0,8.0,0.0
951335,8c7f1s,8.0,7.0,1.0,0.0
955561,18c9s9m,18.0,0.0,9.0,9.0
993368,19c1s18m,19.0,0.0,1.0,18.0
994987,21c2f19s,21.0,2.0,19.0,0.0
1015794,9c6s3m,9.0,0.0,6.0,3.0
1025564,21c4s17m,21.0,0.0,4.0,17.0
1034759,11c5s6m,11.0,0.0,5.0,6.0
1037617,11c1f3s7m,11.0,1.0,3.0,7.0
1038873,9c2f6s1m,9.0,2.0,6.0,1.0
1046126,18c18m,18.0,0.0,0.0,18.0
1070210,14c5s9m,14.0,0.0,5.0,9.0
1078344,22c22s,22.0,0.0,22.0,0.0
1114125,11c8s3m,11.0,0.0,8.0,3.0
1124332,21c16s5m,21.0,0.0,16.0,5.0
1127938,17c17s,17.0,0.0,17.0,0.0
1135467,17c1s16m,17.0,0.0,1.0,16.0
1145597,12c2f10m,12.0,2.0,0.0,10.0
1150821,11c11s,11.0,0.0,11.0,0.0
1176793,21c1s20m,21.0,0.0,1.0,20.0
1196723,12c12s,12.0,0.0,12.0,0.0
1198604,16c3s13m,16.0,0.0,3.0,13.0
1210820,14c2s12m,14.0,0.0,2.0,12.0
1216640,11c3f8s,11.0,3.0,8.0,0.0
1226262,13c6s7m,13.0,0.0,6.0,7.0
1269492,32c6s26m,32.0,0.0,6.0,26.0
1270660,13c1f6s6m,13.0,1.0,6.0,6.0
1289604,12c1s11m,12.0,0.0,1.0,11.0
1303622,18c7s11m,18.0,0.0,7.0,11.0
1307065,,,,,
